Word	Annotation	Sense	Part of Speech	Level
energy			n.	A2
property			n.	B1
living			adj., n.	B1
provide			v.	A2
specific			adj.	A2
science			n.	A1
return			v., n.	A1
practice			n.	A1
role			n.	A2
management			n.	B1
son			n.	A1
generally			adv.	B1
influence			n., v.	B1
purpose			n.	A2
strong			adj.	A1
call			v., n.	A1
current			adj. B1, n. B2	B1, B2
believe			v.	A1
letter			n.	A1
story			n.	A1
ground			n.	A2
main			adj.	A1
paper			n.	A1
modern			adj.	A1
moment			n.	A1
written			adj.	B1
situation			n.	A1
turn			v., n.	A1
plan			n., v.	A1
movement			n.	A2
private			adj.	B1
late			adj., adv.	A1
size			n.	A2
union			n.	B1
east			n., adj., adv.	A1
test			n., v.	A1
difficult			adj.	A1
feel			v. A1, n. B2	A1, B2
river			n.	A1
poor			adj.	A1
attention			n., exclam.	A2
town			n.	A1
space			n.	A1
price			n. A1, v. B2	A1, B2
rule			n. A1, v. B1	A1, B1
activity			n.	A1
across			prep., adv.	A1
play			v., n.	A1
building			n.	A1
anything			pron.	A1
physical			adj.	A2
capital			n., adj.	A1
hard			adj., adv.	A1
sea			n.	A1
cent			n.	A1
per cent			n., adj./adv.	A2
approach			n., v.	B2
pressure			n.	B1
finally			adv.	A2
military			adj., n.	B2
middle			n., adj.	A2
sir			n.	A2
spirit			n.	B1
basis			n.	B1
army			n.	A2
red			adj., n.	A1
alone			adj./adv.	A2
simple			adj.	A2
below			adv., prep.	A1
series			n.	A2
source			n.	A2
particularly			adv.	B1
earth			n.	A2
department			n.	A2
likely			adj.	A2
lost			adj.	A2
complete			adj., v.	A1
behind			prep., adv.	A1
wife			n.	A1
object			n. A1, v. B2	A1, B2
twenty			number	A1
committee			n.	B2
related			adj.	B1
range			n. B1, v. B2	B1, B2
truth			n.	B1
income			n.	B2
instead			adv.	A2
beyond			prep., adv.	B2
rest	(remaining part)		n.	A2
rest	(sleep/relax)		n., v.	A2
outside			adv., prep., noun., adj.	A1
organization			n.	A2
religious			adj.	B1
board			n. A2, v. B1	A2, B1
live		1	v.	A1
live		2	adj., adv.	B1
design			n., v.	A1
except			prep. A2, conj. B1	A2, B1
authority			n.	B1
patient			n. A2, adj. B2	A2, B2
respect			n., v.	B1
sure			adj. A1, adv. A2	A1, A2
culture			n.	A1
relationship			n.	A2
ten			number	A1
condition			n.	A2
addition			n.	B1
direct			adj. A2, v., adv. B1	A2, B1
seem			v.	A2
industry			n.	A2
college			n.	A1
beginning			n.	A1
hundred			number	A1
manner			n.	A2
front			n., adj.	A1
original			adj. A2, n.B1	A2, B1
appear			v.	A2
include			v.	A1
writing			n.	A1
council			n.	B2
disease			n.	A2
standard			n., adj.	B1
fire			n. A1, v. B1	A1, B1
degree			n.	A2
towards			prep.	A2
leave			v. A1, n. B2	A1, B2
understand			v.	A1
average			adj., n. A2, v. B1	A2, B1
March			n.	A1
length			n.	B1
difference			n.	A1
simply			adv.	B1
normal			adj. A2, n. B1	A2, B1
quality			n.	A2
street			n.	A1
run			v. A1, n. A2	A1, A2
answer			n., v.	A1
morning			n.	A1
loss			n.	B1
stage			n. A2, v. B2	A2, B2
pay			v. A1, n. A2	A1, A2
today			adv., n.	A1
decision			n.	A2
page			n.	A1
bank	(money)		n.	A1
bank	(river)		n.	B1
top			n., adj.	A2
journal			n.	B1
door			n.	A1
importance			n.	B1
western			adj.	B1
tax			n., v.	B1
involved			adj.	B1
solution			n.	A2
hope			v. A1, n. A2	A1, A2
voice			n.	A2
reading			n.	A1
bring			v.	A1
peace			n.	A2
chief			adj., n.	B2
species			n.	B2
die			v.	A1
response			n.	A2
association			n.	B2
performance			n.	B1
road			n.	A1
issue			n. B1, v. B2	B1, B2
consider			v.	A2
learning			n.	A2
equal			adj., v. B1, n. B2	B1, B2
training			n.	A2
cut			v. A1, n. B1	A1, B1
basic			adj.	B1
member			n.	A1
friend			n.	A1
lead		1	v. A2, n. B1	A2, B1
music			n.	A1
temperature			n.	A2
volume			n.	B2
review			n., v.	A2
significant			adj.	B2
former			adj.	B2
meaning			n.	A1
associated			adj.	B2
direction			n.	A2
everything			pron.	A1
job			n.	A1
understanding			n.	A2
region			n.	A2
big			adj.	A1
hold			v. A2, n. B2	A2, B2
opinion			n.	A1
June			n.	A1
text			n. A1, v. A2	A1, A2
date			n. A1, v. B2	A1, B2
application			n.	B1
author			n.	A2
cell			n.	B2
distribution			n.	B2
fall			v. A1, n. A2	A1, A2
limited			adj.	B2
presence			n.	B2
sound			n., v.	A1
meeting			n.	A1
clearly			adv.	A2
expected			adj.	B1
nearly			adv.	A2
extent			n.	B2
yes			exclam.	A1
medical			adj.	A2
actually			adv.	A2
final			adj. A1, n. A2	A1, A2
list			n., v.	A1
project			n. A1, v. B2	A1, B2
product			n.	A1
throughout			prep./adv.	B1
discussion			n.	A2
produce			v. A2, v. B2	A2, B2
religion			n.	B1
deep			adj. A2, adv. B1	A2, B1
operation			n.	B1
else			adv.	A1
mass			n., adj.	B2
determined			adj.	B1
oil			n.	A2
security			n.	B1
fine			adj.	A1
distance			n.	A2
move			v. A1, n. B1	A1, B1
effective			adj.	B1
nation			n.	B1
step			n. A2, v. B2	A2, B2
success			n.	A1
literature			n.	B1
neither			det./pron. A2, adv. B1	A2, B1
follow			v.	A1
cross			v., n.	A2
ask			v.	A1
immediately			adv.	A2
certainly			adv.	A2
principle			n.	B2
moral			adj., n.	B2
July			n.	A1
faith			n.	B2
deal			v. A2, n. B1	A2, B1
recent			adj.	A2
legal			adj.	B1
administration			n.	B2
potential			adj., n.	B2
civil			adj.	B2
directly			adv.	B1
meet			v.	A1
expression			n.	A2
myself			pron.	A2
born			v.	A1
wide			adj.	A2
post			n., v.	A1
justice			n.	B2
strength			n.	B1
relation			n.	B1
statement			n.	A1
financial			adj.	B1
dead			adj.	A2
cultural			adj.	B1
historical			adj.	B1
existence			n.	B2
weight			n.	A2
reference			n.	B1
feeling			n.	A1
round			adj., adv., prep. A2, n. B2	A2, B2
risk			n., v.	B1
included			adj.	A2
scale			n.	B2
supply			n., v.	B1
million			number	A1
write			v.	A1
doubt			n., v.	B1
hour			n.	A1
industrial			adj.	B2
April			n.	A1
primary			adj.	B1
base			n., v.	B1
seven			number	A1
wall			n.	A1
complex			adj. B1, n. B2	B1, B2
entire			adj.	B2
try			v. A1, n. B2	A1, B2
county			n.	B2
article			n.	A1
thinking			n.	A2
record			n., v.	A2
flow			v., n.	B1
sun			n.	A1
attempt			n., v.	B2
bad			adj.	A1
instance			n.	B2
commission			n., v.	B2
easily			adv.	A2
unit			n.	A2
green			adj., n.	A1
week			n.	A1
demand			n., v.	B2
environment			n.	A2
proper			adj.	B1
positive			adj. A1, n. B2	A1, B2
talk			v. A1, n. A2	A1, A2
active			adj.	A2
image			n.	A2
plant			n. A1, v. A2	A1, A2
freedom			n.	B2
library			n.	A1
dark			adj. A1, n. A2	A1, A2
key			n., adj. A1, v. B1	A1, B1
speak			v.	A1
whatever			det./pron.	B1
concerned			adj.	B2
measure			v., n.	B1
fear			n. A2, v. B1	A2, B1
independent			adj.	A2
heat			n., v.	A2
master			n., v.	B2
eye			n.	A1
upper			adj.	B2
actual			adj.	B2
cold			adj., n.	A1
frequently			adv.	B1
eight			number	A1
ability			n.	A2
unless			conj.	B1
regard			v., n.	B2
status			n.	B2
hear			v.	A1
thousand			number	A1
stock			n.	B2
student			n.	A1
rise			v. A2, n. B1	A2, B1
arms			n.	B2
factor			n.	A2
charge			n., v.	B1
easy			adj.	A1
stand			v. A1, n. B2	A1, B2
share			v. A1, n. B1	A1, B1
picture			n. A1, v. B2	A1, B2
content		1	n.	B1
herself			pron.	A2
agreement			n.	B1
remember			v.	A1
constant			adj.	B2
none			pron.	A2
popular			adj.	A1
appropriate			adj.	B2
style			n.	A1
start			v. A1, n. A2	A1, A2
goods			n.	B1
ready			adj.	A1
occur			v.	B1
forward			adv. A2, adj. B2	A2, B2
construction			n.	B2
minister			n.	B2
useful			adj.	A1
remain			v.	B1
island			n.	A1
choice			n.	A2
district			n.	B2
speech			n.	A2
economy			n.	B1
desire			n., v.	B2
division			n.	B2
