Word	Annotation	Sense	Part of Speech	Level
washing			n.	A2
lucky			adj.	A2
rescue			v., n.	B2
grandmother			n.	A1
passenger			n.	A2
diamond			n.	B1
quote			v., n.	B1
pile			n., v.	B2
pig			n.	A1
tent			n.	B1
concert			n.	A1
shake			v. A2, n. B1	A2, B1
kid			n.	A2
awful			adj.	A2
modify			v.	B2
drag			v.	B2
boss			n.	A2
drunk			adj.	B1
swimming			n.	A1
sink			v.	B1
football			n.	A1
yeah			exclam.	A1
convince			v.	B1
lonely			adj.	B1
delighted			adj.	B2
visitor			n.	A1
satellite			n.	B2
deliberate			adj.	B2
printer			n.	A2
crazy			adj.	A2
statue			n.	B1
sincere			adj.	B2
tear		1	v., n.	B2
tear		2	n.	B2
stupid			adj.	A2
bomb			n., v.	B1
airport			n.	A1
hers			pron.	A2
seventeen			number	A1
fan			n.	A2
recommendation			n.	B1
urge			v.	B2
ambitious			adj.	B1
receipt			n.	B1
invest			v.	B1
favourite			adj., n.	A1
owe			v.	B2
coin			n.	B1
bend			v., n.	B1
sculpture			n.	B1
lively			adj.	B2
scientist			n.	A1
quit			v.	B1
accompany			v.	B2
cottage			n.	B1
lip			n.	B1
beef			n.	A2
ninety			number	A1
deserve			v.	B2
persuade			v.	B1
funny			adj.	A1
forgive			v.	B2
poison			n., v.	B1
govern			v.	B2
luxury			n.	B1
fence			n.	B1
OK			exclam., adj./adv.	A1
climb			v. A1, n. B1	A1, B1
birthday			n.	A1
disappointed			adj.	B1
neighbourhood			n.	B1
discount			n. B1, v. B2	B1, B2
clever			adj.	A2
publish			v.	A2
remind			v.	B1
compete			v.	A2
intend			v.	B1
hurry			n., v.	B1
locate			v.	B1
oppose			v.	B2
matching			adj.	B2
reporter			n.	A2
beg			v.	B2
broadcast			v., n.	B2
stamp			n.	A2
react			v.	A2
pop			n., adj.	A2
snake			n.	A1
pencil			n.	A1
imaginary			adj.	B1
behave			v.	A2
spell			v.	A1
dirt			n.	B1
disc			n.	B2
specialist			n., adj.	B2
dish			n.	A1
singer			n.	A1
hire			v. B1, n. B2	B1, B2
tunnel			n.	B2
stiff			adj.	B2
happily			adv.	A2
insect			n.	A2
lean			v.	B2
soap			n.	A2
twin			n., adj.	A2
tourism			n.	A2
tune			n.	B2
jacket			n.	A1
lend			v.	A2
relaxed			adj.	B1
gang			n.	B2
explosion			n.	B1
app			n.	A2
drum			n.	B1
pet			n.	A2
pepper			n.	A1
ticket			n.	A1
celebration			n.	B1
old-fashioned			adj.	B1
container			n.	B1
enthusiastic			adj.	B2
upwards			adv.	B2
cake			n.	A1
shelf			n.	B1
ugly			adj.	B1
countryside			n.	B1
curved			adj.	B2
designer			n.	A2
volunteer			n., v.	B1
quotation			n.	B1
baseball			n.	A2
sailing			n.	A2
cigarette			n.	A2
opponent			n.	B2
spelling			n.	A1
parking			n.	A2
unpleasant			adj.	B1
bet			v., n.	B2
advise			v.	B1
elect			v.	B2
complain			v.	A2
amazing			adj.	A1
disadvantage			n.	B1
launch			v., n.	B2
worldwide			adj., adv.	B1
tourist			n.	A1
theirs			pron.	B1
joke			n., v.	A2
invite			v.	A2
edit			v.	B2
horrible			adj.	B1
Tuesday			n.	A1
trick			n., v.	B1
genre			n.	B2
instructor			n.	A2
fitness			n.	B1
ashamed			adj.	B2
soup			n.	A1
lab			n.	A2
pretend			v.	B1
reservation			n.	B1
unfair			adj.	B1
photography			n.	B1
attach			v.	B1
immigrant			n.	B1
golf			n.	A2
cinema			n.	A1
incredible			adj.	A2
rude			adj.	A2
participant			n.	B2
judgement			n.	B2
Thursday			n.	A1
sauce			n.	A2
decent			adj.	B2
nineteen			number	A1
announcement			n.	B1
approve			v.	B2
adapt			v.	B2
uncomfortable			adj.	B1
researcher			n.	A2
hey			exclam.	A1
shoe			n.	A1
symptom			n.	B1
fascinating			adj.	B1
pose			v.	B2
harmful			adj.	B2
unemployed			adj.	B1
shocked			adj.	B2
decoration			n.	B2
neat			adj.	B2
breathe			v.	B1
humour			n.	B2
curtain			n.	B1
expose			v.	B2
vacation			n.	A1
sweep			v.	B2
mess			n., v.	B1
bite			v., n.	B1
oven			n.	A2
Wednesday			n.	A1
champion			n.	B1
update			v., n.	B1
bee			n.	B1
scan			v.	B1
potato			n.	A1
borrow			v.	A2
cheerful			adj.	B1
silly			adj.	B1
wildlife			n.	B2
weekend			n.	A1
retire			v.	B1
dominate			v.	B2
shower			n.	A1
chocolate			n.	A1
ban			v., n.	B1
jazz			n.	A2
penny			n.	A2
punish			v.	B1
headache			n.	A2
outdoor			adj.	B1
crash			n., v.	B2
bathroom			n.	A1
elephant			n.	A1
scared			adj.	A2
earthquake			n.	B1
anniversary			n.	B2
fantastic			adj.	A1
multiply			v.	B2
tennis			n.	A1
politician			n.	B1
float			v.	B2
relax			v.	A1
upstairs			adv. A1, adj. A2	A1, A2
detective			n.	A2
dig			v.	B2
fork			n.	A2
dislike			v., n.	B1
qualify			v.	B1
knock			v. A2, n. B1	A2, B1
translate			v.	B1
bullet			n.	B2
chip			n.	A2
costume			n.	B1
colleague			n.	A2
bother			v.	B1
fashionable			adj.	B1
bunch			n.	B2
admire			v.	B1
polite			adj.	A2
celebrate			v.	A2
weigh			v.	B1
psychologist			n.	B2
alcoholic			adj.	B1
racing			n.	B1
lemon			n.	A2
melt			v.	B2
steal			v.	A2
carpet			n.	A2
hesitate			v.	B2
bean			n.	A2
embarrassed			adj.	B1
qualification			n.	B1
install			v.	B2
monkey			n.	A2
swim			v. A1, n. B1	A1, B1
journalist			n.	A2
traveller			n.	A2
bye			exclam.	A1
entertain			v.	B1
threaten			v.	B2
swear			v.	B2
nail			n.	B1
sadly			adv.	A2
toe			n.	B1
warn			v.	B1
cafe			n.	A1
bin			n.	A2
shy			adj.	B1
licence			n.	B2
loudly			adv.	A2
pub			n.	A2
impatient			adj.	B2
advertisement			n.	A2
neighbour			n.	A1
divorced			adj.	A2
lifestyle			n.	A2
documentary			n.	B1
distribute			v.	B2
careless			adj.	B1
shine			v.	B1
delicious			adj.	A1
disagree			v.	A2
toy			n., adj.	A2
nut			n.	A2
clue			n.	B1
shout			v., n.	A2
kick			v., n.	B1
impress			v.	B2
whisper			v., n.	B2
hello			exclam./n.	A1
enquiry			n.	B2
boot			n.	A1
backwards			adv.	B1
salad			n.	A1
toilet			n.	A1
consume			v.	B1
stare			v.	B2
keyboard			n.	B1
confusing			adj.	B2
bored			adj.	A1
dismiss			v.	B2
interrupt			v.	B2
pants			n.	A2
highlight			v., n.	B1
bubble			n.	B1
freeze			v.	B1
boil			v.	A2
sailor			n.	B1
winner			n.	A2
cite			v.	B2
listener			n.	A2
skirt			n.	A1
inspire			v.	B2
boring			adj.	A1
noisy			adj.	A2
frog			n.	A2
bury			v.	B1
slice			n., v.	B1
amazed			adj.	B1
garage			n.	B1
exam			n.	A1
heel			n.	B2
cancel			v.	B2
policeman			n.	A1
thief			n.	A2
announce			v.	B1
feather			n.	B2
lazy			adj.	A2
musician			n.	A2
album			n.	B1
summarize			v.	B1
trousers			n.	A1
ankle			n.	A2
surround			v.	B2
educate			v.	B1
sandwich			n.	A1
onion			n.	A1
analyse			v.	B1
basketball			n.	A2
folding			adj.	B2
downstairs			adv. A1, adj. A2	A1, A2
talented			adj.	B1
taxi			n.	A1
practise			v.	A1
tomato			n.	A1
spoon			n.	A2
bicycle			n.	A1
photographer			n.	B1
recipe			n.	A2
annoyed			adj.	B1
chat			v., n.	A2
wrap			v.	B2
spider			n.	A2
fry			v.	B1
grab			v.	B2
viewer			n.	B1
scream			v., n.	B2
sponsor			v., n.	B2
guitar			n.	A1
actress			n.	A1
poisonous			adj.	B1
firstly			adv.	A2
nightmare			n.	B2
humorous			adj.	B2
robot			n.	B1
mall			n.	B1
email			n., v.	A1
umbrella			n.	A1
downwards			adv.	B2
greet			v.	A2
pronounce			v.	A2
rub			v.	B2
ingredient			n.	B1
queue			n., v.	B1
airline			n.	A2
frightening			adj.	B1
homework			n.	A1
embarrassing			adj.	B1
towel			n.	A2
jam			n.	A2
competitor			n.	B1
tablet			n.	A2
dancer			n.	A1
passport			n.	A1
jeans			n.	A1
banana			n.	A1
ski			v., n.	A2
hurricane			n.	B1
invent			v.	A2
revise			v.	B1
camping			n.	A2
athlete			n.	A2
poster			n.	A2
injure			v.	B1
criticize			v.	B2
confuse			v.	B1
waiter			n.	A1
goodbye			exclam./n.	A1
teenage			adj.	A2
statistic			n.	B1
runner			n.	A2
bake			v.	B1
metre			n.	A1
bike			n.	A1
businessman			n.	A2
helicopter			n.	B1
indoor			adj.	B1
dentist			n.	A2
shiny			adj.	B1
incredibly			adv.	B1
supporter			n.	B1
accuse			v.	B2
sticky			adj.	B2
celebrity			n.	A2
stadium			n.	B1
rubbish			n.	A2
euro			n.	A1
offend			v.	B2
depressing			adj.	B2
cartoon			n.	A2
disappointing			adj.	B1
mum			n.	A1
soccer			n.	A2
outdoors			adv.	B1
glove			n.	B1
relaxing			adj.	B1
girlfriend			n.	A1
petrol			n.	A2
thirsty			adj.	A1
chef			n.	A2
blonde			adj.	A1
boyfriend			n.	A1
hobby			n.	A1
organizer			n.	B1
annoying			adj.	B1
dishonest			adj.	B2
trainer			n.	A2
cheat			v., n.	B1
apologize			v.	B1
headline			n.	B1
teenager			n.	A1
stair			n.	A2
curly			adj.	A2
indoors			adv.	B1
venue			n.	B2
hockey			n.	A2
frighten			v.	B1
cupboard			n.	A2
advertise			v.	A2
download			v., n.	A2
supermarket			n.	A1
gym			n.	A1
tyre			n.	B1
explode			v.	B1
sweater			n.	A1
skiing			n.	A2
wow			exclam.	A2
carrot			n.	A1
tidy			adj., v.	A2
fasten			v.	B1
underwear			n.	B1
decorate			v.	B1
motorcycle			n.	A2
rugby			n.	B1
biscuit			n.	A2
flu			n.	A2
jewellery			n.	A2
scary			adj.	A2
spicy			adj.	B1
annoy			v.	B1
lorry			n.	A2
laptop			n.	A2
recycle			v.	A2
donate			v.	B1
sock			n.	A2
fridge			n.	A2
kilometre			n.	A1
grandparent			n.	A1
cooker			n.	A2
maths			n.	A2
o’clock			adv.	A1
cannot			v.	A1
blog			n.	A1
DVD			n.	A1
smartphone			n.	A2
website			n.	A1
